"Samples","R","FD","PD_perc","LFI","Crypto","DP_B_ratio","Chondri","Commercial","High_commerc","Vulner","IUCN_noweigths"
"SPY201149",22,8,0.581354970045313,17,4,0.4375,0,8,4,43.82166667,1
"SPY201150",30,11,0.513746702814321,21,6,0.631578947,2,10,4,42.448,3
"SPY201151",8,5,0.807698763404659,6,1,0.5,0,4,1,49.425,0
"SPY201152",1,1,1.96302228616181,1,0,1,0,1,1,50.54,0
"SPY201157",21,8,0.704873220320537,15,3,0.833333333,1,7,5,38.271,1
"SPY201158",29,11,0.531316557688389,22,6,0.764705882,1,9,3,43.64153846,3
"SPY201174",19,9,0.692282263888295,13,2,1.857142857,2,9,4,39.59666667,2
"SPY201175",8,6,0.847123176392591,6,0,1.25,0,3,2,37.378,0
"SPY201176",30,9,0.605186377530512,23,4,0.631578947,0,13,5,40.17133333,2
"SPY201177",16,7,0.478965427163527,14,1,0.545454545,0,6,2,43.20375,0
"SPY201179",9,5,0.859665020735027,6,1,0.25,0,3,1,42.026,0
"SPY201181",16,8,0.717863269428117,14,0,1.428571429,1,8,5,40.64333333,1
"SPY201187",14,7,0.853615744734721,8,1,0.875,0,4,3,31.03166667,0
"SPY201191",10,6,0.837390296539587,6,0,1.75,0,4,4,39.438,0
"SPY201192",2,2,1.73258249761359,1,0,2,0,1,1,24.7,0
"SPY201193",20,9,0.552321585947907,16,3,0.75,0,8,4,46.09125,0
"SPY201198",11,6,0.752851371901705,8,1,1.4,0,5,4,36.9,1
"SPY202491",12,7,0.715948981535961,10,0,1.6,1,7,4,41.066,1
"SPY202492",16,10,0.692557183053604,13,1,1.428571429,1,4,2,36.104,1
"SPY202495",8,6,0.849729822424615,5,0,3.5,0,5,4,35.534,0
"SPY202496",6,4,0.870093522292702,4,0,2.5,0,4,3,37.09,0
"SPY202498",11,6,0.767481239749559,6,1,3,0,5,4,30.175,0
"SPY202500",5,4,1.07382685387956,3,0,1,0,2,2,28.41333333,0
"SPY181153",35,13,0.405736880393516,29,4,0.714285714,0,14,6,50.08071429,2
"SPY181808",30,12,0.491105644829699,23,4,0.55,0,12,7,43.19555556,2
"SPY181809",28,11,0.52314216877628,22,4,0.933333333,1,11,5,52.62666667,2
"SPY181812",23,10,0.552943076230403,16,4,0.411764706,0,7,2,47.08,1
"SPY181813",11,7,0.627776726113947,7,2,0.714285714,0,2,1,39.868,0
"SPY181815",33,12,0.49786134485182,24,7,0.545454545,1,13,6,48.71363636,1
"SPY181816",28,12,0.458924101349284,22,3,0.611111111,0,11,5,42.62909091,1
"SPY181818",21,11,0.604409670019319,17,2,1.444444444,0,9,6,51.11666667,1
"SPY181819",27,10,0.474472073922163,22,3,1,0,10,6,45.22,0
"SPY181820",28,10,0.485508409646676,21,6,0.611111111,0,10,5,43.872,1
"SPY181822",31,10,0.500186843912933,22,7,0.684210526,0,10,6,44.47545455,0
"SPY181823",33,12,0.523602116307208,21,8,0.789473684,1,11,6,44.94571429,2
"SPY181829",32,10,0.528746266785113,21,8,0.941176471,0,13,7,42.2375,1
"SPY181830",25,10,0.550168379472298,17,5,1,0,9,6,44.82,0
"SPY180624",43,12,0.444058304431589,30,13,0.517241379,0,14,5,46.66909091,1
"SPY180932",38,11,0.494723060093123,28,9,0.56,3,12,5,52.49923077,3
