Sample,Date,Country,Site,protection,ZPP_remove,latitude_start_DD,longitude_start_DD,dist_land,dist_port,min_bathy,mean_bathy,habitat_div,habitat_principal,tempDay,tempWeek,chloroDay,chloroWeek,tempYear,chloroYear
SPY180624,19/05/2018,France,Calvi,outside,No,42.629439,8.879176,5.735173512,12.60475905,-25.94653702,-5.074846012,5,Biocenose de l herbier a Posidonia oceanica,17.64575005,17.58687401,0.145023376,0.156292945,18.634653,0.062885
SPY180630,21/06/2018,France,Cap Roux,outside,No,43.417858,6.829228,4.828954681,7.911311338,-39.12968063,-1.229737631,7,Biocenose de l herbier a Posidonia oceanica,22.94429207,21.90952873,0.155261159,0.146246895,18.42109867,0.076060667
SPY180634,21/06/2018,France,Cap Roux,outside,No,43.427372,6.88044,NA,7.868867199,-32.35968399,2.541502014,6,Biocenose de l herbier a Posidonia oceanica,22.93037605,21.66259956,0.160123914,0.155326441,18.418865,0.083152
SPY180635,21/06/2018,France,Cap Roux,outside,No,43.417858,6.829228,6.69601362,9.231634239,-39.12968063,-1.229737631,7,Biocenose de l herbier a Posidonia oceanica,22.94429207,21.90952873,0.155261159,0.146246895,18.42109867,0.076060667
SPY180932,20/05/2018,France,Calvi,outside,No,42.592608,8.810375,4.393349357,8.171032534,-28.08312988,-6.079294764,5,Biocenose de l herbier a Posidonia oceanica,18.771101,17.92878342,0.171333075,0.16584149,18.5785895,0.0607305
SPY180934,21/06/2018,France,Cap Roux,outside,No,43.427372,6.88044,4.286037905,8.163085845,-32.35968399,2.541502014,6,Biocenose de l herbier a Posidonia oceanica,22.93037605,21.66259956,0.160123914,0.155326441,18.418865,0.083152
SPY181146,19/05/2018,France,Calvi,outside,No,42.629439,8.879176,3.042974998,7.553095465,-25.94653702,-5.074846012,5,Biocenose de l herbier a Posidonia oceanica,17.64575005,17.58687401,0.145023376,0.156292945,18.634653,0.062885
SPY181147,19/05/2018,France,Calvi,reserve,No,42.58508,8.725903,4.447109401,6.371249903,-63.50513458,-30.41539364,6,Fonds meubles circalittoraux,18.02192307,17.61068344,0.145023376,0.1749966,18.5478675,0.05931
SPY181148,19/05/2018,France,Calvi,outside,No,42.609901,8.860081,4.447109401,6.371249903,-31.33743095,5.665474915,6,Biocenose de l herbier a Posidonia oceanica,17.61435858,17.53476386,0.145023376,0.16584149,18.634653,0.062885
SPY181149,19/05/2018,France,Calvi,reserve,No,42.577371,8.709377,3.333948935,6.371249903,-64.61566162,-30.31802147,6,Fonds meubles circalittoraux,18.0265255,17.61046219,0.145023376,0.175201669,18.5478675,0.05931
SPY181150,19/05/2018,France,Calvi,reserve,No,42.577371,8.709377,3.333948935,6.371249903,-64.61566162,-30.31802147,6,Fonds meubles circalittoraux,18.0265255,17.61046219,0.145023376,0.175201669,18.5478675,0.05931
SPY181151,19/05/2018,France,Calvi,outside,No,42.628935,8.898822,4.254941019,7.249382858,-25.94653702,-4.718139941,5,Biocenose de l herbier a Posidonia oceanica,17.6457901,17.58728027,0.145023376,0.156303257,18.634653,0.062885
SPY181152,20/05/2018,France,Calvi,outside,No,42.584973,8.80077,4.254941019,7.249382858,-29.07437325,-7.823302681,5,Biocenose de l herbier a Posidonia oceanica,18.759758,17.93408203,0.171333089,0.16584149,18.5785895,0.0607305
SPY181153,15/06/2018,France,Porquerolles,reserve,Yes,42.993934,6.231181,3.066686183,7.300180062,-57.91278458,-12.85304433,7,Biocenose de l herbier a Posidonia oceanica,20.26813507,20.33834648,0.175871357,0.216240823,18.04828475,0.095812
