Species,id,Super_class,Order,Family,Genus,IUCN_Red_List_Category,Common_length,Vertical_Distribution,Vulnerability,LRFI,SHarK,DP,B,GF,all_commercial_level,highly_commercial_only,Fishbase_link
Abudefduf vaigiensis,133,osteichthyen,Perciformes,Pomacentridae,Abudefduf,LC,15,Demersal,15.82,0,0,1,0,0,1,0,http://fishbase.org/summary/Abudefduf-vaigiensis.html
Acanthocybium solandri,201,osteichthyen,Perciformes,Scombridae,Acanthocybium,LC,150,Pelagic,46.16,1,0,1,0,0,1,0,http://fishbase.org/summary/Acanthocybium-solandri.html
Acantholabrus palloni,202,osteichthyen,Perciformes,Labridae,Acantholabrus,LC,21.5,Benthic,31.66,1,0,0,1,6,1,0,http://fishbase.org/summary/Acantholabrus-palloni.html
Acanthurus monroviae,1,osteichthyen,Perciformes,Acanthuridae,Acanthurus,LC,32.5,Benthic,46.16,1,0,0,1,19,1,0,http://fishbase.org/summary/Acanthurus-monroviae.html
Acipenser gueldenstaedtii,203,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,135,Demersal,86.67,1,0,1,0,9,1,0,http://fishbase.org/summary/Acipenser-gueldenstaedtii.html
Acipenser naccarii,52,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,125,Demersal,86.02,1,0,1,0,9,1,0,http://fishbase.org/summary/Acipenser-naccarii.html
Acipenser nudiventris,204,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,125,Demersal,85,1,0,1,0,9,1,0,http://fishbase.org/summary/Acipenser-gueldenstaedtii.html
Acipenser stellatus,53,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,125,Demersal,64.48,1,0,1,0,9,1,0,http://fishbase.org/summary/Acipenser-stellatus.html
Acipenser sturio,205,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,175,Demersal,88.08,1,0,1,0,9,1,0,http://fishbase.org/summary/Acipenser-sturio.html
Aetomylaeus bovinus,398,chondrichtyen,Rajiformes,Myliobatidae,Aetomylaeus,CR,125,Benthic,58.88,1,1,0,1,10,1,0,http://fishbase.org/summary/Pteromylaeus-bovinus.html
Aidablennius sphynx,206,osteichthyen,Perciformes,Blenniidae,Aidablennius,LC,6.5,Benthic,15.01,0,0,0,1,4,0,0,http://fishbase.org/summary/Aidablennius-sphynx.html
Alectis alexandrina,207,osteichthyen,Perciformes,Carangidae,Alectis,LC,70,Demersal,52.36,1,0,1,0,1,1,0,http://fishbase.org/summary/Alectis-alexandrina.html
Alepes djedaba,134,osteichthyen,Perciformes,Carangidae,Alepes,LC,25,Pelagic,24.73,1,0,1,0,0,1,0,http://fishbase.org/summary/Alepes-djedaba.html
Alepocephalus rostratus,520,osteichthyen,Osmeriformes,Alepocephalidae,Alepocephalus,LC,35,Benthic,69.64,1,0,0,1,2,1,0,http://fishbase.org/summary/Alepocephalus-rostratus.html
Alopias vulpinus,506,chondrichtyen,Lamniformes,Alopiidae,Alopias,VU,550,Pelagic,72.87,1,1,1,0,20,1,0,http://fishbase.org/summary/Alopias-vulpinus.html
Alosa alosa,208,osteichthyen,Clupeiformes,Clupeidae,Alosa,LC,50,Pelagic,35.65,1,0,1,0,0,1,0,http://fishbase.org/summary/Alosa-alosa.html
Alosa fallax,209,osteichthyen,Clupeiformes,Clupeidae,Alosa,LC,45,Pelagic,49.56,1,0,1,0,0,1,0,http://fishbase.org/summary/Alosa-fallax.html
Aluterus monoceros,621,osteichthyen,Tetraodontiformes,Monacanthidae,Aluterus,LC,25,Demersal,47.86,1,0,1,0,1,1,0,http://fishbase.org/summary/Aluterus-monoceros.html
Anguilla anguilla,210,osteichthyen,Anguilliformes,Anguillidae,Anguilla,CR,80,Benthic,64.35,1,0,0,1,0,1,0,http://fishbase.org/summary/Anguilla-anguilla.html
Anthias anthias,211,osteichthyen,Perciformes,Serranidae,Anthias,LC,16.5,Benthic,37.66,1,0,0,1,0,1,0,http://fishbase.org/summary/Anthias-anthias.html
Aphanius dispar,213,osteichthyen,Cyprinodontiformes,Cyprinodontidae,Aphanius,LC,6.5,Demersal,14.62,0,0,1,0,0,1,0,http://fishbase.org/summary/Aphanius-dispar+dispar.html
Aphanius fasciatus,54,osteichthyen,Cyprinodontiformes,Cyprinodontidae,Aphanius,LC,6,Demersal,14.05,0,0,1,0,22,1,0,http://fishbase.org/summary/Aphanius-fasciatus.html
Aphanius iberus,55,osteichthyen,Cyprinodontiformes,Cyprinodontidae,Aphanius,NA,4,Demersal,28.56,0,0,1,0,22,1,0,http://fishbase.org/summary/Aphanius-iberus.html
Aphia minuta,214,osteichthyen,Perciformes,Gobiidae,Aphia,NA,3.75,Pelagic,10,0,0,1,0,0,1,0,http://fishbase.org/summary/Aphia-minuta.html
Apletodon dentatus,215,osteichthyen,Gobiesociformes,Gobiesocidae,Apletodon,NA,4.25,Benthic,28.44,0,0,0,1,2,1,0,http://fishbase.org/summary/Apletodon-dentatus.html
Apogon imberbis,216,osteichthyen,Perciformes,Apogonidae,Apogon,LC,11,Benthic,15.08,0,0,0,1,2,0,0,http://fishbase.org/summary/Apogon-imberbis.html
Apogonichthyoides pharaonis,135,osteichthyen,Perciformes,Apogonidae,Apogonichthyoides,NA,10,Demersal,10,0,0,1,0,1,1,0,http://fishbase.org/summary/Apogonichthyoides-pharaonis.html
Apogonichthyoides taeniatus,217,osteichthyen,Perciformes,Apogonidae,Apogonichthyoides,NA,11,Benthic,15.39,0,0,0,1,2,1,0,http://fishbase.org/summary/Apogonichthyoides-taeniatus.html
Apterichtus anguiformis,218,osteichthyen,Anguilliformes,Ophichthidae,Apterichtus,LC,55,Benthic,29.8,1,0,0,1,2,1,0,http://fishbase.org/summary/Apterichtus-anguiformis.html
Apterichtus caecus,219,osteichthyen,Anguilliformes,Ophichthidae,Apterichtus,LC,55,Benthic,33.58,1,0,0,1,2,1,0,http://fishbase.org/summary/Apterichtus-caecus.html
Argentina sphyraena,532,osteichthyen,Osmeriformes,Argentinidae,Argentina,NA,29,Demersal,36.22,1,0,1,0,1,1,0,http://fishbase.org/summary/Argentina-sphyraena.html
Argyropelecus hemigymnus,523,osteichthyen,Stomiiformes,Sternoptychidae,Argyropelecus,LC,2.8,Pelagic,13.42,0,0,1,0,5,1,0,http://fishbase.org/summary/Argyropelecus-hemigymnus.html
Argyrosomus regius,590,osteichthyen,Perciformes,Sciaenidae,Argyrosomus,LC,120,Demersal,67.17,1,0,1,0,1,1,0,http://fishbase.org/summary/Argyrosomus-regius.html
Ariosoma balearicum,220,osteichthyen,Anguilliformes,Congridae,Ariosoma,LC,45,Benthic,27.79,1,0,0,1,2,1,0,http://fishbase.org/summary/Ariosoma-balearicum.html
Arnoglossus imperialis,221,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,LC,22.5,Benthic,35.16,1,0,0,1,2,1,0,http://fishbase.org/summary/Arnoglossus-imperialis.html
Arnoglossus kessleri,56,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,DD,11.5,Benthic,23.6,0,0,0,1,2,1,0,http://fishbase.org/summary/Arnoglossus-kessleri.html
Arnoglossus laterna,222,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,LC,20,Benthic,35.75,1,0,0,1,2,1,0,http://fishbase.org/summary/Arnoglossus-laterna.html
Arnoglossus rueppelii,616,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,LC,NA,Benthic,34.47,0,0,0,1,2,1,0,http://fishbase.org/summary/Arnoglossus-rueppelii.html
Arnoglossus thori,223,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,DD,19,Benthic,25.01,1,0,0,1,2,1,0,http://fishbase.org/summary/Arnoglossus-thori.html
Atherina boyeri,610,osteichthyen,Atheriniformes,Atherinidae,Atherina,LC,9,Pelagic,43.98,0,0,1,0,0,1,0,http://fishbase.org/summary/Atherina-boyeri.html
Atherina hepsetus,226,osteichthyen,Atheriniformes,Atherinidae,Atherina,NA,15,Pelagic,35.08,0,0,1,0,21,1,0,http://fishbase.org/summary/Atherina-hepsetus.html
Atherina presbyter,227,osteichthyen,Atheriniformes,Atherinidae,Atherina,LC,13.5,Pelagic,20.73,0,0,1,0,0,1,0,http://fishbase.org/summary/Atherina-presbyter.html
Atherinomorus forskalii,632,osteichthyen,Atheriniformes,Atherinidae,Atherinomorus,NA,6,Pelagic,36.58,0,0,1,0,0,1,0,http://fishbase.org/summary/Atherinomorus-lacunosus.html
Atherinomorus lacunosus,136,osteichthyen,Atheriniformes,Atherinidae,Atherinomorus,NA,12,Demersal,39.12,0,0,1,0,1,1,0,http://fishbase.org/summary/Atherinomorus-lacunosus.html
Aulopus filamentosus,228,osteichthyen,Aulopiformes,Aulopidae,Aulopus,LC,17.5,Demersal,41.44,1,0,1,0,1,1,0,http://fishbase.org/summary/Aulopus-filamentosus.html
Auxis rochei,229,osteichthyen,Perciformes,Scombridae,Auxis,LC,35,Pelagic,26.68,1,0,1,0,7,1,0,http://fishbase.org/summary/Auxis-rochei.html
Balistes capriscus,230,osteichthyen,Tetraodontiformes,Balistidae,Balistes,VU,32.5,Benthic,34.82,1,0,0,1,2,1,0,http://fishbase.org/summary/Balistes-capriscus.html
Bathophilus nigerrimus,531,osteichthyen,Stomiiformes,Melanostomiidae,Bathophilus,LC,6,Pelagic,21.31,0,0,1,0,23,1,0,http://fishbase.org/summary/Bathophilus-nigerrimus.html
